entity,year,record,builtup,carbon,cropland,fishing,forest,grazing,total
World,1961,EFConsPerCap,0.03,0.93,0.41,0.11,0.44,0.28,2.2
World,1961,BiocapPerCap,0.03,0,0.41,0.36,1.88,0.5,3.17
World,1962,EFConsPerCap,0.03,0.94,0.42,0.12,0.44,0.27,2.21
World,1962,BiocapPerCap,0.03,0,0.42,0.35,1.84,0.49,3.13
World,1963,EFConsPerCap,0.03,0.89,0.41,0.12,0.43,0.27,2.15
World,1963,BiocapPerCap,0.03,0,0.41,0.34,1.8,0.48,3.06
World,1964,EFConsPerCap,0.03,0.89,0.41,0.11,0.44,0.27,2.15
World,1964,BiocapPerCap,0.03,0,0.41,0.34,1.76,0.47,3.01
World,1965,EFConsPerCap,0.03,0.9,0.41,0.12,0.43,0.27,2.16
World,1965,BiocapPerCap,0.03,0,0.41,0.33,1.72,0.46,2.95
World,1966,EFConsPerCap,0.04,1.01,0.42,0.12,0.43,0.26,2.28
World,1966,BiocapPerCap,0.04,0,0.42,0.32,1.69,0.45,2.91
World,1967,EFConsPerCap,0.04,1.12,0.42,0.13,0.43,0.26,2.4
World,1967,BiocapPerCap,0.04,0,0.42,0.31,1.65,0.44,2.86
World,1968,EFConsPerCap,0.04,1.12,0.43,0.14,0.43,0.26,2.41
World,1968,BiocapPerCap,0.04,0,0.43,0.31,1.62,0.43,2.82
World,1969,EFConsPerCap,0.04,1.16,0.42,0.13,0.42,0.25,2.43
World,1969,BiocapPerCap,0.04,0,0.42,0.3,1.58,0.42,2.76
World,1970,EFConsPerCap,0.04,1.35,0.43,0.13,0.42,0.25,2.62
World,1970,BiocapPerCap,0.04,0,0.43,0.29,1.54,0.41,2.72
World,1971,EFConsPerCap,0.04,1.37,0.43,0.12,0.42,0.25,2.63
World,1971,BiocapPerCap,0.04,0,0.43,0.29,1.51,0.41,2.68
World,1972,EFConsPerCap,0.04,1.33,0.42,0.13,0.41,0.25,2.57
World,1972,BiocapPerCap,0.04,0,0.42,0.28,1.48,0.4,2.62
World,1973,EFConsPerCap,0.04,1.45,0.43,0.13,0.42,0.24,2.71
World,1973,BiocapPerCap,0.04,0,0.43,0.28,1.45,0.39,2.59
World,1974,EFConsPerCap,0.04,1.44,0.41,0.13,0.41,0.24,2.67
World,1974,BiocapPerCap,0.04,0,0.41,0.27,1.42,0.39,2.53
World,1975,EFConsPerCap,0.04,1.42,0.41,0.12,0.39,0.25,2.63
World,1975,BiocapPerCap,0.04,0,0.41,0.26,1.39,0.38,2.49
World,1976,EFConsPerCap,0.04,1.45,0.42,0.12,0.4,0.24,2.67
World,1976,BiocapPerCap,0.04,0,0.42,0.26,1.36,0.37,2.46
World,1977,EFConsPerCap,0.04,1.46,0.42,0.11,0.4,0.23,2.67
World,1977,BiocapPerCap,0.04,0,0.42,0.25,1.34,0.36,2.42
World,1978,EFConsPerCap,0.05,1.5,0.44,0.11,0.4,0.23,2.72
World,1978,BiocapPerCap,0.05,0,0.44,0.25,1.31,0.36,2.4
World,1979,EFConsPerCap,0.05,1.56,0.43,0.11,0.4,0.23,2.77
World,1979,BiocapPerCap,0.05,0,0.43,0.25,1.28,0.35,2.35
World,1980,EFConsPerCap,0.04,1.35,0.42,0.11,0.39,0.23,2.54
World,1980,BiocapPerCap,0.04,0,0.42,0.24,1.26,0.35,2.31
World,1981,EFConsPerCap,0.05,1.32,0.43,0.11,0.38,0.23,2.5
World,1981,BiocapPerCap,0.05,0,0.43,0.24,1.24,0.34,2.29
World,1982,EFConsPerCap,0.05,1.23,0.44,0.11,0.37,0.22,2.42
World,1982,BiocapPerCap,0.05,0,0.44,0.23,1.21,0.33,2.27
World,1983,EFConsPerCap,0.05,1.15,0.43,0.11,0.37,0.22,2.33
World,1983,BiocapPerCap,0.05,0,0.43,0.23,1.18,0.33,2.22
World,1984,EFConsPerCap,0.05,1.24,0.45,0.11,0.38,0.21,2.44
World,1984,BiocapPerCap,0.05,0,0.45,0.22,1.16,0.32,2.21
World,1985,EFConsPerCap,0.05,1.28,0.45,0.11,0.37,0.21,2.48
World,1985,BiocapPerCap,0.05,0,0.45,0.22,1.14,0.32,2.18
World,1986,EFConsPerCap,0.05,1.29,0.45,0.11,0.37,0.21,2.48
World,1986,BiocapPerCap,0.05,0,0.45,0.21,1.12,0.31,2.15
World,1987,EFConsPerCap,0.05,1.31,0.45,0.11,0.38,0.2,2.5
World,1987,BiocapPerCap,0.05,0,0.45,0.21,1.1,0.31,2.11
World,1988,EFConsPerCap,0.05,1.37,0.43,0.11,0.37,0.2,2.54
World,1988,BiocapPerCap,0.05,0,0.43,0.2,1.08,0.3,2.07
World,1989,EFConsPerCap,0.06,1.37,0.44,0.11,0.37,0.2,2.54
World,1989,BiocapPerCap,0.06,0,0.44,0.2,1.06,0.3,2.05
World,1990,EFConsPerCap,0.06,1.35,0.45,0.11,0.37,0.2,2.52
World,1990,BiocapPerCap,0.06,0,0.45,0.2,1.05,0.29,2.04
World,1991,EFConsPerCap,0.06,1.3,0.43,0.1,0.35,0.2,2.43
World,1991,BiocapPerCap,0.06,0,0.43,0.19,1.03,0.29,2
World,1992,EFConsPerCap,0.06,1.22,0.43,0.1,0.33,0.2,2.34
World,1992,BiocapPerCap,0.06,0,0.43,0.2,1.02,0.29,1.99
World,1993,EFConsPerCap,0.06,1.23,0.42,0.1,0.32,0.19,2.32
World,1993,BiocapPerCap,0.06,0,0.42,0.19,1,0.28,1.95
World,1994,EFConsPerCap,0.06,1.28,0.42,0.1,0.32,0.19,2.38
World,1994,BiocapPerCap,0.06,0,0.42,0.19,0.99,0.28,1.94
World,1995,EFConsPerCap,0.06,1.32,0.41,0.11,0.32,0.19,2.4
World,1995,BiocapPerCap,0.06,0,0.41,0.19,0.97,0.27,1.9
World,1996,EFConsPerCap,0.06,1.35,0.43,0.11,0.31,0.18,2.44
World,1996,BiocapPerCap,0.06,0,0.43,0.18,0.96,0.27,1.9
World,1997,EFConsPerCap,0.06,1.33,0.43,0.11,0.32,0.18,2.42
World,1997,BiocapPerCap,0.06,0,0.43,0.18,0.94,0.27,1.88
World,1998,EFConsPerCap,0.06,1.3,0.43,0.11,0.31,0.18,2.38
World,1998,BiocapPerCap,0.06,0,0.43,0.18,0.93,0.27,1.86
World,1999,EFConsPerCap,0.06,1.37,0.43,0.1,0.31,0.17,2.45
World,1999,BiocapPerCap,0.06,0,0.43,0.18,0.91,0.26,1.84
World,2000,EFConsPerCap,0.06,1.42,0.42,0.1,0.32,0.17,2.5
World,2000,BiocapPerCap,0.06,0,0.42,0.17,0.9,0.26,1.82
World,2001,EFConsPerCap,0.07,1.46,0.42,0.1,0.3,0.17,2.53
World,2001,BiocapPerCap,0.07,0,0.42,0.17,0.89,0.26,1.81
World,2002,EFConsPerCap,0.07,1.37,0.41,0.1,0.31,0.17,2.42
World,2002,BiocapPerCap,0.07,0,0.41,0.17,0.88,0.25,1.78
World,2003,EFConsPerCap,0.07,1.41,0.41,0.1,0.31,0.17,2.46
World,2003,BiocapPerCap,0.07,0,0.41,0.17,0.86,0.25,1.76
World,2004,EFConsPerCap,0.07,1.48,0.43,0.1,0.31,0.16,2.56
World,2004,BiocapPerCap,0.07,0,0.43,0.16,0.85,0.24,1.75
World,2005,EFConsPerCap,0.07,1.52,0.42,0.1,0.31,0.16,2.59
World,2005,BiocapPerCap,0.07,0,0.42,0.16,0.83,0.24,1.73
World,2006,EFConsPerCap,0.07,1.55,0.42,0.1,0.3,0.16,2.61
World,2006,BiocapPerCap,0.07,0,0.42,0.16,0.82,0.23,1.71
World,2007,EFConsPerCap,0.08,1.61,0.43,0.1,0.3,0.16,2.67
World,2007,BiocapPerCap,0.08,0,0.43,0.16,0.81,0.23,1.69
World,2008,EFConsPerCap,0.08,1.61,0.44,0.09,0.28,0.15,2.66
World,2008,BiocapPerCap,0.08,0,0.44,0.16,0.79,0.23,1.69
World,2009,EFConsPerCap,0.08,1.52,0.43,0.09,0.27,0.15,2.54
World,2009,BiocapPerCap,0.08,0,0.43,0.15,0.78,0.22,1.67
World,2010,EFConsPerCap,0.08,1.63,0.44,0.09,0.28,0.15,2.67
World,2010,BiocapPerCap,0.08,0,0.44,0.15,0.77,0.22,1.65
World,2011,EFConsPerCap,0.08,1.67,0.44,0.09,0.28,0.15,2.71
World,2011,BiocapPerCap,0.08,0,0.44,0.15,0.76,0.22,1.65
World,2012,EFConsPerCap,0.08,1.66,0.43,0.09,0.28,0.15,2.69
World,2012,BiocapPerCap,0.08,0,0.43,0.15,0.74,0.21,1.62
World,2013,EFConsPerCap,0.09,1.65,0.45,0.09,0.28,0.14,2.71
World,2013,BiocapPerCap,0.09,0,0.45,0.14,0.73,0.21,1.62
World,2014,EFConsPerCap,0.09,1.61,0.45,0.09,0.28,0.14,2.66
World,2014,BiocapPerCap,0.09,0,0.45,0.14,0.72,0.2,1.61
